,2019,2016,2013
urban1,0.06406877,0.05486553,0.05408367
urban2,0.36455586,0.3393329,0.3273144
urban3,0.6900553,0.66598606,0.65354695
envir1,0.753866,0.711693,0.646484167
envir2,0.515899667,0.485059333,0.421847933
envir3,0.398538,0.365821,0.301545933
area1,0.02767461,0.02553504,0.02369333
area2,0.32904236,0.31189227,0.29441083
area3,0.77382839,0.75508637,0.73672218
length1,3.335641,3.130392,2.95992
length2,24.558811,23.2466,22.17352
length3,52.096443,50.611748,49.49791
nt1,1.833114,1.408093,1.430924
nt2,14.204119,11.212956,11.073435
nt3,34.055983,28.394528,27.940581
ndvi1,0.6553973,0.6464245,0.6556868
ndvi2,0.4258272,0.4432393,0.4488786
ndvi3,0.3026558,0.3223164,0.3222557
npp1,8855.0448,8941.6147,9055.536
npp2,3492.3982,3593.2997,3594.709
npp3,852.5981,892.5041,911.772
pm1,27.24239,31.7654,44.62205
pm2,29.56641,34.91489,49.23681
pm3,30.0896,35.76467,50.79761
