,2019,2016,2013
urban1,0.1073829,0.09809746,0.09067727
urban2,0.3776696,0.35835336,0.34432968
urban3,0.6537792,0.63453436,0.62164613
envir1,0.655369667,0.581694333,0.536988367
envir2,0.584549667,0.510897333,0.4560589
envir3,0.451139667,0.385825333,0.329046833
area1,0.071824,0.06910862,0.06358764
area2,0.3704074,0.35429363,0.33716075
area3,0.7612693,0.74094302,0.7205099
length1,7.438702,7.150653,6.687285
length2,26.342598,25.110425,24.078863
length3,49.628602,48.07802,46.966981
nt1,2.458418,2.025534,1.824399
nt2,16.667816,14.358657,14.005723
nt3,38.501453,35.212233,34.904518
ndvi1,0.4433693,0.4438579,0.4437541
ndvi2,0.4482838,0.4516111,0.4525383
ndvi3,0.3431841,0.3488865,0.3442285
npp1,3682.532,3285.938,3456.787
npp2,3950.045,3491.587,3546.689
npp3,1540.325,1358.539,1347.886
pm1,33.09545,41.79377,57.06192
pm2,32.70854,41.8459,57.59809
pm3,33.2786,43.34539,59.23437
